Sl. No.,Metric Name,Definition,Preferred Direction
1470,mAP_L,Mean average precision (L),Higher 
1471,mAP-0%,Mean average precision for the 0% false positive rate,Higher
1472,mAP-07,mAP at IoU=0.7.,Higher
1473,mAP-100%,mAP at intersection over union threshold of 100%.,-
1474,mAP-50%,A metric used to evaluate the performance of object detection models,Higher
1475,mAP(T2V),Mean Average Precision on Thermal to Visible dataset,Higher
1476,mAP(V2T),Mean average precision from video to text retrieval.,Higher
1477,mAP@0.1,mAP at intersection over union threshold of 0.1.,Higher
1478,mAP@0.1:0.5,Mean average precision at different IoU thresholds for object detection,Higher 
1479,mAP@0.1:0.7,Mean average precision over different intersection over union thresholds.,Higher
1480,mAP@0.2,A metric used to evaluate the performance of object detection models,Higher
1481,mAP@0.25,Mean average precision at an intersection over union threshold of 0.25.,Higher
1482,mAP@0.3,Mean Average Precision at 0.3 IoU,Higher
1483,mAP@0.5,Mean Average Precision at IOU threshold of 0.5,Higher 
1484,mAP@0.5 role,The mean average precision of a model on the role detection task with an IoU threshold of 0.5,Higher
1485,mAP@0.5:0.95,Mean Average Precision over different IoU thresholds,Higher
1486,mAP@0.50,Mean Average Precision at 0.50 Intersection over Union threshold,Higher 
1487,mAP@0.50 (CS),Mean average precision for crowd counting,Higher
1488,mAP@0.50 (CV),A metric used to evaluate the performance of object detection models,Higher
1489,mAP@0.6,mAP@0.6 is a metric used to evaluate object detection models in computer vision tasks. It measures the mean average precision of object detections at IoU threshold of 0.6 across all classes in a dataset.,Higher
1490,mAP@0.7,A metric used to evaluate the performance of object detection models,Higher
1491,mAP@0.75,Mean average precision at 0.75,Higher 
1492,mAP@0.95,Mean Average Precision at 0.95,Higher
1493,mAP@10,A metric used to measure the performance of an object detection system .,Higher
1494,mAP@100,Mean Average Precision at 100,Higher
1495,MAP@15,The mean average precision of a model at 15,Higher
1496,mAP@25,Mean average precision for object detection at 25% overlap,Higher
1497,MAP@30,Mean average precision at 30,Higher 
1498,MAP@5,Mean Average Precision at 5,Higher
1499,mAP@50,Mean average precision at rank 50.,Higher
1500,mAP@AVG(0.1:0.9),Mean Average Precision at Average of 0.1 to 0.9,Higher
1501,mAP50,Mean Average Precision at 50,Higher
1502,MAPE,Mean absolute percentage error for a regression task.,Lower
1503,MAPE (%),The mean absolute percentage error of a model,Lower
1504,mAR,Mean average recall,Higher 
1505,mAR (COCO+ XS),A metric used to evaluate the performance of object detection models,Higher
1506,"MAR, walking, 1,000ms","Missed alarm rate for walking events with a window of 1,000 ms",Lower
1507,"MAR, walking, 400ms",MAR for walking at 400ms,N/A
1508,Market-1501->mAP,Market-1501 mean average precision,Higher 
1509,Market-1501->Rank-1,Rank-1 accuracy on the Market-1501 dataset,Higher
1510,Market-1501->Rank1,Rank-1 on Market-1501 dataset,Higher
1511,Masculine F1 (M),A metric used to evaluate the performance of gender classification models,Higher
1512,mASE,Mean Absolute Scale Error,Lower
1513,mask AFNR,Mask Average False Negative Rate at 0.50 Intersection over Union threshold,Lower 
1514,mask AP,The average precision of a model on the mask detection task,Higher
1515,mask AP50,Mask Average Precision at 0.50 Intersection over Union threshold,Higher 
1516,mask APr,A metric used to evaluate the performance of object detection models,Higher
1517,mask SOAP,Mask SOAP,-
1518,mask SOAP 50,Mask SOAP 50,-
1519,mask SOAP 75,mask SOAP 75 is a benchmark dataset for evaluating object detection models on underwater imagery.,N/A
1520,mask-IS,Instance segmentation mean average precision with masks,Higher
1521,mask-SSIM,A metric used to evaluate the performance of image segmentation models,Higher
1522,Matched,Number of correctly matched pairs in a matching task,Higher 
1523,Matching accuracy,Accuracy of matching between two images.,Higher
1524,mATE,The mean absolute temporal error of a model on the ActivityNet dataset,Lower
1525,Matthews Correlation,The Matthews correlation coefficient of a model,Higher
1526,mAUC,Mean Area Under the Curve,Higher
1527,mauve,Mauve,N/A
1528,mAVE,Mean absolute error for a regression task.,Lower
1529,MAX E-MEASURE,A metric used to measure the performance of a segmentation system .,Higher
1530,max E-measure,A metric used to evaluate the performance of image segmentation models,Higher
1531,max E-Measure,Maximum E-measure,Higher 
1532,MAX F-MEASURE,The maximum F-measure of a model,Higher
1533,max F-Measure,Maximum F-Measure,Higher
1534,Max F1 (WSJ),A metric used to evaluate the performance of speech recognition models,Higher
1535,Max F1 (WSJ10),Maximum F1 score on WSJ10 dataset,Higher
1536,MaxBoxAccV2,MaxBoxAccV2 is a metric used to evaluate object detection models. It measures the maximum accuracy of predicted bounding boxes across all IoU thresholds greater than or equal to 0.5.,Higher
1537,maximal F-measure,Maximal F-measure,Higher
1538,Maximum error,Maximum error,Lower
1539,Maximum F-measure,The maximum F-measure of a model,Higher
1540,mBA,A metric used to measure the performance of a machine learning model .,Higher
1541,MC Accuracy,Accuracy for multi-class classification,Higher 
1542,MC2,A metric used to measure the performance of a speaker diarization system .,Higher
1543,mCAP,Mean class activation prediction for visual question answering,Higher
1544,MCC,Matthews Correlation Coefficient for binary classification tasks,Higher
1545,mCov,A metric used to measure the performance of a speaker diarization system .,Higher
1546,MDs (CS),Mean distance (CS),Lower 
1547,Mean,Mean,N/A
1548,Mean absolute error,A metric used to evaluate the performance of regression models,Lower
1549,mean absolute error,Mean absolute error,Lower 
1550,Mean Absolute Error (cross-val),A metric used to evaluate the performance of regression models,Lower
1551,Mean Acc (Restaurant + Laptop),Mean accuracy (restaurant + laptop),Higher 
1552,Mean Accuracy,Mean accuracy,Higher 
1553,Mean ADD,The mean ADD score of a model,Lower
1554,Mean ADD-S,A metric used to measure the performance of a 3D reconstruction system .,Lower
1555,Mean ADI,Mean absolute deviation of the intensity,Lower 
1556,Mean Angle Error,The mean angle error of a model,Lower
1557,Mean AP,A metric used to evaluate the performance of object detection models,Higher
1558,Mean AUC,Mean Area Under the Curve,Higher
1559,mean average accuracy,A metric used to evaluate the performance of action recognition models,Higher
1560,mean average accuracy @ 10,A metric used to evaluate the performance of recommendation models,Higher
1561,mean average precision,Mean Average Precision,Higher
1562,Mean class accuracy,The average accuracy across all classes in a classification task.,Higher
1563,mean Corruption Error (mCE),The mean corruption error of a model,Lower
1564,mean Dice,A metric used to evaluate the performance of image segmentation models,Higher
1565,mean E-measure,A metric used to measure the performance of a segmentation system .,Higher
1566,mean E-Measure,The mean E-Measure of a model,Higher
1567,Mean Error Rate,The average error rate of a model,Lower
1568,mean F-Measure,A metric used to evaluate the performance of object detection models,Higher
1569,mean F-measure,Mean F-measure,Higher
1570,Mean F1,The harmonic mean of precision and recall,Higher
1571,Mean F1 (Advanced),Mean F1 score (Advanced) is a benchmark dataset for evaluating named entity recognition models on biomedical texts with complex entity types and relations between entities. The metric measures the mean F1 score across all entity types using advanced evaluation criteria.,Higher
1572,Mean F1 (Intermediate),A metric used to measure the performance of a machine learning model .,Higher
1573,Mean F1 (Laptop + Restaurant),A metric used to evaluate the performance of aspect-based sentiment analysis models,Higher
1574,Mean F1 (WSJ),Mean F1 (WSJ),Higher 
1575,Mean F1 (WSJ10),The mean F1 score of a model on the WSJ10 dataset,Higher
1576,Mean Human Normalized Score,Mean human-normalized score,Higher 
1577,Mean Human-Normalized Score,Mean human-normalized score,Higher 
1578,Mean IoU,Mean Intersection over Union,Higher
1579,Mean IoU (class),The mean intersection over union of a model,Higher
1580,Mean IoU (test),A metric used to measure the performance of an object detection system .,Higher
1581,Mean IoU (test),Mean intersection over union (test),Higher 
1582,Mean IoU (val),Mean intersection over union (validation),Higher 
1583,Mean Jaccard & F-Measure,A metric used to measure the performance of an object detection system .,Higher
1584,Mean mAP,The mean average precision of a model,Higher
1585,Mean NME,Mean Normalized Mean Error,Lower
1586,Mean NME,Mean Normalized Mean Error (NME) is a metric used to evaluate facial landmark detection models. It measures the average Euclidean distance between predicted and ground truth landmarks normalized by interocular distance.,Lower
1587,Mean Normalized Performance,A metric used to evaluate the performance of object detection models,Higher
1588,Mean Opinion Score,Mean Opinion Score,Higher
1589,Mean PCK,Mean Percentage of Correct Keypoints,Higher
1590,Mean PCK@0.05,A metric used to evaluate the performance of pose estimation models,Higher
1591,Mean PCK@0.1,A metric used to evaluate the performance of person re-identification models,Higher
1592,Mean PCK@0.2,Mean Percentage of Correct Keypoints at 0.2,Higher
1593,mean per-class accuracy,A metric used to evaluate the performance of object detection models,Higher
1594,mean precision,Average precision across all classes in an object detection task.,Higher
1595,Mean Rank,Mean Rank,Lower
1596,Mean Recall,Mean Recall,Higher
1597,mean Recall @100,Mean Recall at 100 detections,Higher
1598,mean Recall @20,A metric used to measure the performance of a recommendation system .,Higher
1599,Mean Reconstruction Error (mm),Mean Reconstruction Error in millimeters,Lower
1600,Mean Speed Measurement Error (km/h),Mean Speed Measurement Error in kilometers per hour,Lower
1601,Mean Squared Error,Mean squared error,Lower 
1602,Mean Squared Error (cross-val),The mean squared error of a model in cross-validation,Lower
1603,mean success,Mean Success,Higher
1604,meanIOU,Mean Intersection over Union,Higher
1605,Med. Imaging,A metric used to measure the performance of a medical imaging system .,Higher
1606,Median Queries,A metric used to measure the performance of a recommendation system .,Lower
1607,Median Reconstruction Error,A metric used to evaluate the performance of image restoration models,Lower
1608,Median Relighting Error,Median pixel error for image relighting,Lower
1609,Median Speed Measurement Error (km/h),Median Speed Measurement Error in kilometers per hour,Lower
1610,Median Win Rate,Median win rate,Higher
1611,Medium Human-Normalized Score,A metric used to measure the performance of a machine translation system .,Higher
1612,Medium MR^-2,Medium Modified Rand Index,Higher 
1613,Memory,Memory,N/A
1614,Merge & Split,The merge and split errors of a model on the MOTChallenge dataset,Lower
1615,mesh AP,A metric used to evaluate the performance of object detection models,Higher
1616,Message-F1,A metric used to evaluate the performance of chatbot models,Higher
1617,Meteor,Measures the quality of machine translation models,Higher 
1618,METEOR,METEOR,Higher
1619,METEOR (Validation set),A metric used to evaluate the performance of machine translation models,Higher
1620,mF DEK @4.8s,A metric used to measure the performance of a speaker diarization system .,Higher
1621,MFR-ALL,Mean frame rate (all),Higher 
1622,MFR-MASK,MFR-MASK,-
1623,Micro F1,Micro F1 score,Higher
1624,Micro F1 (Exact Span),F1 score for exact matches in a span-based labeling task,Higher
1625,Micro F1 (Tokens),Micro F1 score at token level.,Higher
1626,Micro Precision,Micro precision,Higher 
1627,Micro Recall,A metric used to measure the performance of a machine learning model .,Higher
1628,Micro-AUC,Micro Area Under the Curve,Higher
1629,Micro-F1,Micro-averaged F1 score,Higher 
1630,Micro-F1 (20% training data),The micro F1 score of a model with 20% of the data as training data,Higher
1631,Micro-F1 (80% training data),Micro F1 score on 80% training data,Higher
1632,microAP,Micro Average Precision,
1633,mIDF1,Mean Inverse Document Frequency F1,Higher
1634,minADE (K=1),minADE (K=1) is a metric used to evaluate trajectory prediction models in robotics tasks. It measures the minimum average displacement error between predicted and ground truth trajectories over K=1 future time steps.,Lower
1635,minADE (K=6),The minimum average displacement error over K=6 frames.,Lower
1636,MinADE_10,"Minimum average displacement error at time step 10 for pedestrian tracking in autonomous driving scenarios, measured in meters.",Lower
1637,MinADE_5,A metric used to measure the performance of a tracking system .,Lower
1638,minADE6,Minimum average distance error 6,Lower 
1639,minFDE (K=1),Minimum Final Displacement Error for K=1,Lower
1640,minFDE (K=6),Minimum final displacement error (K=6),Lower 
1641,MinFDE_1,Minimum final displacement error at 1,Lower 
1642,minFDE1,Minimum Final Displacement Error 1,Lower
1643,minFDE6,Minimum final displacement error for tracking task,Lower 
1644,mINP,Minimum Input,N/A
1645,mINP,Mean Intersection over Union (mINP) is a metric used to evaluate the accuracy of object detection models. It measures the overlap between predicted and ground truth bounding boxes or masks. Higher values indicate better performance.,Higher
1646,mINP (All Search),Mean intersection over prediction (all search),Higher 
1647,mINP (All Search),Minimum input perturbation required to change the output of a machine learning model for all inputs in a dataset.,Lower
1648,mINP (Indoor Search),Measures the quality of indoor localization algorithms,Higher 
1649,mINP (Indoor Search),Minimum indoor search precision,Higher 
1650,mINP (Thermal to Visible),A metric used to evaluate the performance of object detection models,Higher
1651,mINP (Thermal to Visible),Mean Intersection over Union (mINP) between thermal and visible images in object detection tasks. Higher values indicate better performance.,Higher
1652,mINP (Visible to Thermal),Minimum Intersection over Union between Visible and Thermal image pairs,Higher
1653,mINP (Visible to Thermal),Mean Intersection over Union on Visible to Thermal dataset,Higher
1654,mIOU,Mean Intersection over Union,Higher
1655,mIoU,"Mean Intersection over Union, a metric for image segmentation",Higher 
1656,mIoU (1/5 rotation),A metric used to measure the performance of an object detection system .,Higher
1657,mIoU (1% Labels),Mean intersection over union for labels with at least 1% coverage.,Higher
1658,mIoU (10% Labels),Mean Intersection over Union with 10% Labels,Higher
1659,MIoU (13 classes),A metric used to measure the performance of an object detection system .,Higher
1660,mIoU (13 classes),The mean intersection over union of a model on the 13 classes task,Higher
1661,MIoU (16 classes),Mean Intersection over Union (MIoU) at IoU threshold of 0.5 across 16 classes is a metric used to evaluate segmentation models in computer vision tasks. It measures how well predicted segmentations match ground truth segmentations using overlap ratios.,Higher
1662,mIoU (20% Labels),Mean Intersection over Union on 20% Labels,Higher
1663,mIoU (50% Labels),Mean intersection over union across all classes in a semantic segmentation task with 50% of the ground truth labels used for training.,Higher
1664,mIoU (test),Mean Intersection over Union on test set,Higher
1665,mIoU (val),A metric used to measure the performance of an object detection system .,Higher
1666,mIoU Category,Mean Intersection over Union for Category,Higher
1667,miou Class,Mean intersection over union across all classes in a semantic segmentation task.,Higher
1668,Mismatched,Mismatched predictions,Lower
1669,MissRateTopK_2_10,Miss rate top K 2 10,Lower 
1670,MissRateTopK_2_5,Miss rate top K 2 5,Lower 
1671,MKR,MKR,-
1672,MLP Hidden Layers-width,Width of hidden layers in a multilayer perceptron.,Higher
1673,MMADE@2000ms,Mean Miss Distance at 2000ms,Lower
1674,MMD-CD,Maximum mean discrepancy with class discrimination,Lower 
1675,MMDa,Measures the performance of object detection models,Higher 
1676,MMDa (CV),MMDa (CV) is a metric used to evaluate generative models in image synthesis tasks. It measures how well generated images match human-written captions or descriptions using cosine similarity and word embedding metrics.,Higher
1677,MMDs,Maximum mean discrepancy,Lower 
1678,MMDs (CV),A metric used to measure the performance of a generative model .,Lower
1679,MMFDE@2000ms,The MMFDE score of a model at 2000ms,Lower
1680,mMOTA,Measures the multi-object tracking accuracy,Higher 
1681,mMOTSA,A metric used to evaluate the performance of multi-object tracking models,Higher
1682,mMR,A metric used to evaluate the performance of recommendation models,Lower
1683,MNAE,Mean normalized absolute error,Lower 
1684,mod. Car AP@.5IoU,Modified Car Average Precision at 0.5 Intersection over Union,Higher
1685,mod. Car AP@.7IoU,A metric used to evaluate the performance of object detection models,Higher
1686,mod. Cyclist AP@.25IoU,Modified average precision for cyclist detection,Higher
1687,mod. mAP,Modified Mean Average Precision,Higher
1688,mod. Pedestrian AP@.25IoU,The modified pedestrian AP score of a model with an IoU threshold of 0.25,Higher
1689,model,Model,N/A
1690,model size,Model size,Lower 
1691,MoF,A metric used to evaluate the performance of object detection models,Higher
1692,Mono,Monocular Depth Estimation,Lower
1693,Morgan FTS,A metric used to evaluate the performance of object detection models,Higher
1694,MOS,Mean opinion score,Higher 
1695,MosquitoSound,A dataset of mosquito sounds,N/A
1696,MOTA,Multiple object tracking accuracy,Higher 
1697,MOTP,Multiple object tracking precision for an object tracking task.,Higher
1698,Mover,Mean overlap error,Lower
1699,MParams,The number of model parameters,Lower
1700,mPC [AP],mPC [AP] is a metric used to evaluate object detection models. It measures the mean precision across all classes at different recall levels.,Higher
1701,mPC [AP50],mPC at AP50.,Higher
1702,MPJPE,Mean Per Joint Position Error (MPJPE) for 3D pose estimation,Lower
1703,MPJPE (CA),Mean per-joint position error in camera coordinates.,Lower
1704,MPJPE (CS),Mean Per Joint Position Error for Conditional Sampling,Lower
1705,MPJPE Test,A metric used to measure the performance of a pose estimation system .,Lower
1706,MPJPE Val,Mean Per Joint Position Error on validation set,Lower
1707,MPJPE2D,A metric used to evaluate the performance of 3D human pose estimation models,Lower
1708,MPJPE3D,A metric used to evaluate the performance of 3D human pose estimation models,Lower
1709,mPrec,The mean precision of a model,Higher
1710,MPS,The MPS score of a model,Higher
1711,MPSNR,Mean peak signal-to-noise ratio,Higher 
1712,MPVE (mm),Mean Per-Vertex Error in millimeters,Lower
1713,MPVPE,A metric used to evaluate the performance of energy forecasting models,Lower
1714,MR,MR,Lower 
1715,MR (K=1),Mean rank for information retrieval,Lower
1716,MR (K=6),The average rank of the correct answer over K=6 iterations.,Lower
1717,mR@100,mR@100 is a metric used to evaluate recommendation systems. It measures the mean reciprocal rank of relevant items among the top 100 recommendations.,Higher
1718,mR@20,Mean Recall at 20 detections,Higher
1719,mR@50,A metric used to measure the performance of a recommendation system .,Higher
1720,mRec,Mean recall,Higher 
1721,mRMSE,A metric used to measure the performance of a regression system .,Lower
1722,mRMSE-nz,Mean Root Mean Square Error for non-zero,Lower
1723,MRPC,The Microsoft Research Paraphrase Corpus,Not Clear
1724,MRPE,Mean relative pose error for camera pose estimation in augmented reality applications.,Lower
1725,MRR,A metric used to evaluate the performance of recommendation models,Higher
1726,MRR (x 100),Mean reciprocal rank (x 100),Higher 
1727,MRR 1p,Mean Reciprocal Rank at 1,Higher
1728,MRR 2i,Mean reciprocal rank for image retrieval with two images as input.,Higher
1729,MRR 2p,The mean reciprocal rank of a model with 2 positive examples,Higher
1730,MRR 2u,Mean reciprocal rank 2u,Higher 
1731,MRR 3i,Mean reciprocal rank of the correct answer over three iterations.,Higher
1732,MRR 3p,Mean Reciprocal Rank at 3,Higher
1733,MRR ip,Mean reciprocal rank for information retrieval,Higher
1734,MRR pi,Mean reciprocal rank of the correct answer in an information retrieval task with multiple correct answers.,Higher
1735,MRR raw,Mean Reciprocal Rank (MRR) is a metric used to evaluate the accuracy of information retrieval systems. MRR raw is the unprocessed version of MRR.,Higher
1736,MRR@10,Mean reciprocal rank at 10 for visual dialogue task,Higher 
1737,MRR@20,Mean reciprocal rank of the correct answer over 20 iterations.,Higher
1738,MRRPE Test,A metric used to evaluate the performance of pose estimation models,Lower
1739,MRRPE Val,The MRRPE Val score of a model,Lower
1740,MS-SSIM,The MS-SSIM score of a model,Higher
1741,MSD,Mean Squared Displacement,Lower
1742,MSE,A metric used to evaluate the performance of regression models,Lower
1743,MSE,Mean squared error between predicted and ground-truth values.,Lower
1744,"MSE (10^-2, 50% missing)",The mean squared error of a model with 50% of the data missing,Lower
1745,mse (10^-3),Mean Squared Error multiplied by 10^-3,Lower
1746,"MSE (10^2, 50% missing)",The mean squared error of a model with 50% of the data missing,Lower
1747,MSE (t+1),MSE (t+1) is a metric used to evaluate time series forecasting models. It measures the mean squared error between predicted and ground truth values at time t+1.,Lower
1748,MSE (t+10),Mean Squared Error at t+10,Lower
1749,MSE (t+100),Mean Squared Error on t+100,Lower
1750,MSE (t+80),Mean squared error (t+80),Lower 
1751,MSE Global,A metric used to evaluate the performance of object detection models,Lower
1752,MSE normalized by inter-ocular distance,Mean Squared Error normalized by inter-ocular distance,Lower
1753,MSE stdev,Mean Squared Error (MSE) standard deviation is a metric used to evaluate regression models. It measures how much variance there is in predicted scores across all samples in a dataset.,Lower
1754,MSE(0.5),A metric used to evaluate the performance of object detection models,Lower
1755,MSE(1.0),A metric used to evaluate the performance of image segmentation models,Lower
1756,MSE(1.5),Mean squared error between predicted and ground-truth values with a threshold of 1.5.,Lower
1757,MSE(E),A metric used to evaluate the performance of image segmentation models,Lower
1758,MSLE,A metric used to measure the performance of a regression system .,Lower
1759,MSMT17->mAP,Mean Average Precision on MSMT17 dataset,Higher
1760,MSMT17->Rank-1,Rank-1 accuracy on the MSMT17 dataset for person re-identification,Higher
1761,MSMT17-All->mAP,A metric used to evaluate the performance of object detection models,Higher
1762,MSSIM,Mean structural,
1763,MTT_AP,MTT_AP is a metric used to evaluate object tracking models in video surveillance tasks. It measures the average precision of multiple object detections across multiple frames.,Higher
1764,MTT_AUC,A metric used to evaluate the performance of music recommendation models,Higher
1765,Multi-Task Supervision,A metric used to evaluate the performance of multi-task learning models,Higher
1766,Multi-View or Monocular,A metric used to evaluate the performance of object detection models,Higher
1767,Multimodality,A metric used to measure the performance of a machine learning model in handling multiple types of data .,Higher
1768,MultiWOZ (Inform),MultiWOZ (Inform),-
1769,MultiWOZ (Joint Goal Acc),Accuracy of a Multi-domain Wizard-of-Oz dialogue task,Higher
1770,MultiWOZ (Success),Success rate on MultiWOZ dataset.,Higher
1771,mWAP,Mean weighted average precision,Higher 
1772,mWCov,Mean Wasserstein coverage for generative model evaluation,Higher 
1773,N-gram F1,The harmonic mean of precision and recall for n-grams,Higher
1774,NAB (LowFN),Normalized anomaly score (low false negatives),Higher 
1775,NAB (lowFP),NAB on lowFP dataset,Higher
1776,NAB (standard),A metric used to evaluate the performance of anomaly detection models,Lower
1777,NAB score,The NAB score of a model,Higher
1778,Nationality,Nationality,N/A
1779,Nats,Negative log likelihood in nats.,Lower
1780,Natural Images,A metric for image compression that measures the quality of compressed images using natural images as input.,Higher
1781,Natural Science,A metric used to evaluate the performance of text classification models,Higher
1782,NC,A metric used to evaluate the performance of object detection models,Higher
1783,NDCG,A metric used to evaluate the performance of recommendation models,Higher
1784,nDCG (Avg),Normalized Discounted Cumulative Gain,Higher
1785,nDCG (T2V),Normalized discounted cumulative gain (T2V),Higher 
1786,nDCG (V2T),Normalized discounted cumulative gain (Video to Text),Higher 
1787,NDCG (x 100),Normalized discounted cumulative gain,Higher
1788,nDCG@1,A metric used to evaluate the performance of recommendation models,Higher
1789,nDCG@10,Normalized discounted cumulative gain at 10,Higher 
1790,nDCG@10 (100 Neg. Samples),A metric used to evaluate the performance of recommendation models,Higher
1791,nDCG@10 (500 Neg. Samples),Normalized Discounted Cumulative Gain at 10 with 500 Negative Samples,Higher
1792,nDCG@100,Normalized Discounted Cumulative Gain at rank 100,Higher
1793,NDCG@15,Normalized Discounted Cumulative Gain at rank 15,Higher
1794,nDCG@20,Normalized Discounted Cumulative Gain at 20,Higher 
1795,NDCG@20,Normalized discounted cumulative gain at 20,Higher 
1796,NDCG@3,Normalized Discounted Cumulative Gain at 3,Higher
1797,nDCG@3,The normalized discounted cumulative gain at 3 predictions per image,Higher
1798,NDCG@5,Normalized Discounted Cumulative Gain at rank 5,Higher
1799,nDCG@5,Normalized Discounted Cumulative Gain at 5,Higher
1800,NDS,Measures the quality of object detection algorithms,Higher 
1801,ndtw,Normalized Dynamic Time Warping,Lower
1802,Nearest neighbor similarity (SNN),Nearest neighbor similarity (SNN),Higher 
1803,Need Ground Truth 2D Pose,Percentage of cases where ground truth two-dimensional pose is required to achieve state-of-the-art performance in an object detection task.,-
1804,Neg Jacob Det,Negative Jacobian Determinant,Lower
1805,Neg. F1,Negative F1 score,Higher 
1806,Negative CLL,Negative Conditional Log-Likelihood,Lower
1807,Negative ELBO,Negative evidence lower bound for a variational autoencoder.,Lower
1808,NegLL,Negative Log-Likelihood,Lower
1809,NER Macro F1,Macro-averaged F1 score for named entity recognition,Higher 
1810,NER Micro F1,A metric used to measure the performance of a named entity recognition system .,Higher
1811,Network,Top-1 accuracy for network prediction task,Higher 
1812,NFMR,A metric used to measure the performance of a face recognition system .,Lower
1813,ng-mR@20,Mean reciprocal rank of the first relevant document for a given information retrieval task,Higher
1814,Night,Night,N/A
1815,NIQE,Natural Image Quality Evaluator,Lower
1816,NIS,Normalized Information Score,Higher 
1817,NIST,National Institute of Standards and Technology score,Higher
1818,NLDA,A metric used to evaluate the performance of text classification models,Higher
1819,NLL,Negative Log-Likelihood,Lower
1820,NM#5-6,NM#5-6,N/A
1821,NME,A metric used to evaluate the performance of facial landmark detection models,Lower
1822,NME (box),Normalized mean error (box),Lower 
1823,NME (inter-ocular),A metric used to evaluate the performance of facial landmark detection models,Lower
1824,NME (inter-pupil),Normalized Mean Error of inter-pupil distance,Lower
1825,"NME_box (%, Full)",Normalized Mean Error of bounding box,Lower
1826,"NME_diag (%, Frontal)",A metric used to evaluate the performance of face recognition models,Lower
1827,"NME_diag (%, Full)",A metric used to evaluate the performance of face recognition models,Lower
1828,NME_inter-ocular (% Challenge),Normalized Mean Error in inter-ocular distance (percentage) for a particular challenge or task.,Lower 
1829,"NME_inter-ocular (%, all)",Normalized Mean Error (NME) of inter-ocular distance,Lower
1830,"NME_inter-ocular (%, all)","Normalized mean error inter-ocular (percentage, all)",Lower 
1831,"NME_inter-ocular (%, Common)",A metric used to measure the performance of a face alignment system .,Lower
1832,"NME_inter-ocular (%, Full)",Normalized mean error for inter-ocular distance,Lower
1833,"NME_inter-pupil (%, Challenge)",A metric used to evaluate the performance of facial landmark detection models,Lower
1834,"NME_inter-pupil (%, Common)",The normalized mean error between inter-pupil distances.,Lower
1835,"NME_inter-pupil (%, Full)",A metric used to evaluate the performance of face alignment models,Lower
1836,NMI,NMI is a metric used to evaluate clustering models in unsupervised learning tasks. It measures the normalized mutual information between predicted clusters and ground truth clusters.,Higher
1837,NO → EN,Norwegian to English,-
1838,No Context,A metric used to measure the performance of a speaker diarization system .,Higher
1839,No. of Somersaults Accuracy,Accuracy for somersault detection,Higher
1840,No. of Twists Accuracy,A metric used to evaluate the performance of pose estimation models,Higher
1841,No. parameters,Number of parameters in a machine learning model or neural network architecture.,-
1842,NoC@85,A metric used to evaluate the performance of object detection models,Higher
1843,NoC@90,The number of correct predictions at 90% overlap,Higher
1844,NONE,A metric used to evaluate the performance of text classification models,Higher
1845,Normal (ablation),Normal for ablation,N/A
1846,Normal (test),A metric used to evaluate the performance of natural language processing models,Higher
1847,Normalized Average Return,Normalized average return,Higher 
1848,Normalized cPSNR,Normalized color Peak Signal-to-Noise Ratio,Higher
1849,normalized MSE,Normalized Mean Squared Error,Lower
1850,Normalized Pose Error,Normalized error between predicted and ground truth poses,Lower
1851,Normalized Position Error,Normalized Position Error,Lower
1852,Normalized Precision,The normalized precision of a model on the TRECVID dataset,Higher
1853,normalized RMSE,Normalized Root Mean Squared Error,Lower
1854,Notes,Notes,-
1855,Noun (Top5 mAP),A metric used to evaluate the performance of object detection models,Higher
1856,Noun@1,Noun@1,Higher
1857,Noun+TTC (Top5 mAP),Noun+TTC (Top5 mAP),Higher
1858,Noun+Verb(Top5 mAP),A metric used to measure the performance of an object detection system .,Higher
1859,NOV-F1,F1 score for novelty detection,Higher
1860,Novel classes,Novel classes,N/A
1861,Novelty,Novelty,-
1862,NPSS@15,Normalized pointwise semantic similarity at a distance threshold of 15 for a semantic textual similarity task.,Higher
1863,NPSS@30,Normalized pointwise semantic similarity at 30,Higher 
1864,NPSS@5,A metric used to evaluate the performance of recommendation models,Higher
1865,Nrtv,Nrtv,-
1866,NSD,Natural Scenes Dataset,N/A
1867,NSDR,Normalized Scanpath Saliency Difference Rate,Lower
1868,NSS,The NSS score of a model,Higher
1869,NT,NT,-
1870,NUM RADS BELOW CURVE,Number of radiologists below curve,Lower 
1871,number,Number,N/A
1872,Number of Frames Per View,The number of frames per view of a model,Higher
1873,Number of parameters (M),A metric used to evaluate the complexity of a model,Lower
1874,Number of Params,The number of parameters in a model,Not Clear
1875,Number of params,Number of parameters,Lower 
1876,NUV,NUV,N/A
1877,O (Average of Measures),A metric used to measure the performance of a machine translation system .,Higher
1878,OA@10%perclass,The overall accuracy of a model at 10% per class,Higher
1879,OA@200,A metric used to evaluate the performance of object detection models,Higher
1880,OA@5%perclass,Overall Accuracy at 5% per class,Higher
1881,oAcc,Overall Accuracy (oAcc) is a metric used to evaluate multi-label classification models. It measures the percentage of correctly classified samples across all labels in a dataset. Higher values indicate better performance.,Higher
1882,OBJ-BG (OA),Object Background classification accuracy,Higher 
1883,OBJ-ONLY (OA),Object-only accuracy for object detection task,Higher 
1884,Object Top 5 Accuracy,Top 5 accuracy for object detection,Higher
1885,Object Top-1,A metric used to evaluate the performance of object detection models,Higher
1886,Object Top-1 Accuracy,Top 1 accuracy for object detection,Higher
